Date,Hour,Demand_Forecast_MW,Wind_MW,Solar_PV_MW
2021-01-01,1,24264.0,8828.0,0.0
2021-01-01,2,23431.0,9073.0,0.0
2021-01-01,3,21936.0,9272.0,0.0
2021-01-01,4,20559.0,9603.0,0.0
2021-01-01,5,19754.0,9893.0,0.0
2021-01-01,6,19553.0,10132.0,0.0
2021-01-01,7,19671.0,10369.0,0.0
2021-01-01,8,19933.0,10527.0,0.0
2021-01-01,9,19862.0,10624.0,71.2
2021-01-01,10,20450.0,10714.0,1169.2
2021-01-01,11,22147.0,10837.0,3166.5
2021-01-01,12,23391.0,10964.0,4359.0
2021-01-01,13,24288.0,11185.0,4723.6
2021-01-01,14,25383.0,11321.0,4741.8
2021-01-01,15,25664.0,11472.0,4451.2
2021-01-01,16,24329.0,11596.0,3973.9
2021-01-01,17,23708.0,11282.0,2219.5
2021-01-01,18,24128.0,10713.0,445.5
2021-01-01,19,26335.0,10376.0,4.5
2021-01-01,20,27503.0,10275.0,0.0
2021-01-01,21,28629.0,10205.0,0.0
2021-01-01,22,28967.0,10085.0,0.0
2021-01-01,23,27992.0,10073.0,0.0
2021-01-01,24,25786.0,10155.0,0.0
2021-01-02,1,23849.0,9990.0,0.0
2021-01-02,2,21865.0,9877.0,0.0
2021-01-02,3,20139.0,9699.0,0.0
2021-01-02,4,19231.0,9665.0,0.0
2021-01-02,5,18870.0,9790.0,0.0
2021-01-02,6,19181.0,9926.0,0.0
2021-01-02,7,20393.0,10069.0,0.0
2021-01-02,8,21671.0,10096.0,0.0
2021-01-02,9,23719.0,9970.0,58.7
2021-01-02,10,26448.0,9851.0,1322.3
2021-01-02,11,28868.0,9963.0,3679.7
2021-01-02,12,29947.0,10258.0,4964.3
2021-01-02,13,29692.0,10665.0,4840.8
2021-01-02,14,29981.0,10851.0,5016.4
2021-01-02,15,30249.0,10944.0,4996.8
2021-01-02,16,28888.0,11013.0,4417.1
2021-01-02,17,28301.0,10877.0,2814.2
2021-01-02,18,28243.0,10689.0,797.7
2021-01-02,19,30009.0,10677.0,17.2
2021-01-02,20,30645.0,10678.0,0.0
2021-01-02,21,31360.0,10509.0,0.0
2021-01-02,22,31883.0,10418.0,0.0
2021-01-02,23,30428.0,10426.0,0.0
2021-01-02,24,27946.0,10403.0,0.0
2021-01-03,1,25403.0,10515.0,0.0
2021-01-03,2,22959.0,10371.0,0.0
2021-01-03,3,21287.0,10194.0,0.0
2021-01-03,4,20638.0,10012.0,0.0
2021-01-03,5,20426.0,9913.0,0.0
2021-01-03,6,20536.0,9840.0,0.0
2021-01-03,7,20844.0,9808.0,0.0
2021-01-03,8,21251.0,9571.0,0.0
2021-01-03,9,22837.0,9263.0,74.8
2021-01-03,10,25281.0,8894.0,1516.5
2021-01-03,11,28189.0,8857.0,3896.6
2021-01-03,12,29615.0,9105.0,5055.7
2021-01-03,13,30154.0,9624.0,5229.7
2021-01-03,14,30823.0,9809.0,5295.0
2021-01-03,15,31082.0,9833.0,5178.9
2021-01-03,16,29627.0,9684.0,4709.8
2021-01-03,17,28937.0,9133.0,2913.6
2021-01-03,18,28818.0,8543.0,855.4
2021-01-03,19,30855.0,8159.0,28.9
2021-01-03,20,32168.0,8114.0,0.0
2021-01-03,21,33242.0,8132.0,0.0
2021-01-03,22,33185.0,8153.0,0.0
2021-01-03,23,31556.0,8037.0,0.0
2021-01-03,24,28754.0,7959.0,0.0
2021-01-04,1,26041.0,7329.0,0.0
2021-01-04,2,23611.0,7142.0,0.0
2021-01-04,3,22299.0,7120.0,0.0
2021-01-04,4,21573.0,6985.0,0.0
2021-01-04,5,21609.0,6748.0,0.0
2021-01-04,6,22498.0,6554.0,0.0
2021-01-04,7,24637.0,6413.0,0.0
2021-01-04,8,28804.0,6071.0,0.0
2021-01-04,9,32189.0,5818.0,57.1
2021-01-04,10,35133.0,5586.0,1116.6
2021-01-04,11,36476.0,5613.0,2818.7
2021-01-04,12,36595.0,5710.0,3718.0
2021-01-04,13,36337.0,5886.0,4253.4
2021-01-04,14,36436.0,6071.0,4271.3
2021-01-04,15,36156.0,6199.0,3857.4
2021-01-04,16,35236.0,6209.0,3240.5
2021-01-04,17,34886.0,5796.0,2045.9
2021-01-04,18,34772.0,5295.0,559.0
2021-01-04,19,36237.0,4971.0,4.2
2021-01-04,20,36890.0,4927.0,0.0
2021-01-04,21,37439.0,4962.0,0.0
2021-01-04,22,37098.0,5037.0,0.0
2021-01-04,23,34471.0,4750.0,0.0
2021-01-04,24,30877.0,4419.0,0.0
2021-01-05,1,27586.0,4604.0,0.0
2021-01-05,2,25293.0,4426.0,0.0
2021-01-05,3,23509.0,4270.0,0.0
2021-01-05,4,22838.0,4133.0,0.0
2021-01-05,5,22780.0,3991.0,0.0
2021-01-05,6,23138.0,3881.0,0.0
2021-01-05,7,25237.0,3786.0,0.0
2021-01-05,8,28530.0,3471.0,0.0
2021-01-05,9,31362.0,3081.0,60.2
2021-01-05,10,34230.0,2650.0,1200.2
2021-01-05,11,35571.0,2315.0,3199.0
2021-01-05,12,35719.0,2081.0,4169.4
2021-01-05,13,35006.0,2012.0,4561.6
2021-01-05,14,35032.0,2002.0,4644.2
2021-01-05,15,34578.0,1974.0,4482.9
2021-01-05,16,33324.0,1978.0,3874.4
2021-01-05,17,32793.0,1932.0,2576.1
2021-01-05,18,32392.0,1921.0,788.7
2021-01-05,19,33414.0,2062.0,4.9
2021-01-05,20,33535.0,2212.0,0.0
2021-01-05,21,33943.0,2329.0,0.0
2021-01-05,22,33673.0,2342.0,0.0
2021-01-05,23,31935.0,2419.0,0.0
2021-01-05,24,29401.0,2469.0,0.0
2021-01-06,1,28454.0,2322.0,0.0
2021-01-06,2,26076.0,2366.0,0.0
2021-01-06,3,23734.0,2390.0,0.0
2021-01-06,4,22679.0,2409.0,0.0
2021-01-06,5,22254.0,2403.0,0.0
2021-01-06,6,22040.0,2521.0,0.0
2021-01-06,7,22553.0,2629.0,0.0
2021-01-06,8,23311.0,2615.0,0.0
2021-01-06,9,23556.0,2534.0,59.5
2021-01-06,10,25156.0,2466.0,1195.4
2021-01-06,11,27385.0,2384.0,3019.2
2021-01-06,12,28227.0,2349.0,3989.0
2021-01-06,13,28224.0,2278.0,3931.3
2021-01-06,14,28769.0,2495.0,4047.9
2021-01-06,15,28736.0,2643.0,3779.2
2021-01-06,16,27386.0,2842.0,3171.6
2021-01-06,17,26669.0,3116.0,2041.6
2021-01-06,18,26804.0,3432.0,398.4
2021-01-06,19,28994.0,3848.0,4.5
2021-01-06,20,30510.0,4255.0,0.0
2021-01-06,21,31845.0,4644.0,0.0
2021-01-06,22,32936.0,5016.0,0.0
2021-01-06,23,32043.0,5130.0,0.0
2021-01-06,24,29549.0,5236.0,0.0
2021-01-07,1,26614.0,5531.0,0.0
2021-01-07,2,23875.0,5620.0,0.0
2021-01-07,3,22677.0,5633.0,0.0
2021-01-07,4,22218.0,5620.0,0.0
2021-01-07,5,22316.0,5654.0,0.0
2021-01-07,6,23206.0,5656.0,0.0
2021-01-07,7,26219.0,5667.0,0.0
2021-01-07,8,30724.0,5610.0,0.0
2021-01-07,9,34675.0,5487.0,28.3
2021-01-07,10,37897.0,5350.0,373.4
2021-01-07,11,39210.0,4973.0,956.9
2021-01-07,12,40081.0,4506.0,1158.1
2021-01-07,13,39663.0,4039.0,1246.4
2021-01-07,14,39815.0,3864.0,1365.9
2021-01-07,15,39037.0,3768.0,1386.1
2021-01-07,16,38298.0,3723.0,1238.4
2021-01-07,17,38061.0,3911.0,811.6
2021-01-07,18,38127.0,4197.0,222.7
2021-01-07,19,39486.0,4511.0,3.1
2021-01-07,20,40406.0,4603.0,0.0
2021-01-07,21,40406.0,4598.0,0.0
2021-01-07,22,40128.0,4558.0,0.0
2021-01-07,23,36477.0,4561.0,0.0
2021-01-07,24,32708.0,4635.0,0.0
2021-01-08,1,29037.0,5888.0,0.0
2021-01-08,2,26633.0,6239.0,0.0
2021-01-08,3,25307.0,6577.0,0.0
2021-01-08,4,24619.0,6887.0,0.0
2021-01-08,5,24558.0,7181.0,0.0
2021-01-08,6,25175.0,7506.0,0.0
2021-01-08,7,27826.0,7810.0,0.0
2021-01-08,8,32363.0,8030.0,0.0
2021-01-08,9,35893.0,8246.0,16.8
2021-01-08,10,38259.0,8391.0,329.1
2021-01-08,11,39421.0,8506.0,1159.7
2021-01-08,12,39596.0,8697.0,1013.0
2021-01-08,13,39100.0,8957.0,1143.0
2021-01-08,14,39154.0,9270.0,1061.3
2021-01-08,15,38514.0,9580.0,884.2
2021-01-08,16,37653.0,9857.0,668.7
2021-01-08,17,37375.0,10101.0,307.0
2021-01-08,18,37382.0,10354.0,71.1
2021-01-08,19,38625.0,10713.0,1.6
2021-01-08,20,39423.0,10816.0,0.0
2021-01-08,21,39281.0,10783.0,0.0
2021-01-08,22,38462.0,10675.0,0.0
2021-01-08,23,35444.0,10536.0,0.0
2021-01-08,24,32107.0,10463.0,0.0
2021-01-09,1,28911.0,10105.0,0.0
2021-01-09,2,26467.0,10133.0,0.0
2021-01-09,3,25005.0,10159.0,0.0
2021-01-09,4,24137.0,10249.0,0.0
2021-01-09,5,23661.0,10366.0,0.0
2021-01-09,6,23715.0,10611.0,0.0
2021-01-09,7,24452.0,10837.0,0.0
2021-01-09,8,26272.0,11008.0,0.0
2021-01-09,9,28500.0,11075.0,22.6
2021-01-09,10,31876.0,11050.0,291.8
2021-01-09,11,34868.0,11013.0,1071.4
2021-01-09,12,35504.0,11042.0,1099.6
2021-01-09,13,35226.0,11060.0,1727.0
2021-01-09,14,35784.0,10903.0,2163.2
2021-01-09,15,35783.0,10646.0,2162.4
2021-01-09,16,34227.0,10357.0,1857.1
2021-01-09,17,33394.0,9974.0,1358.2
2021-01-09,18,33157.0,9566.0,437.5
2021-01-09,19,34790.0,9253.0,13.8
2021-01-09,20,35894.0,9084.0,0.0
2021-01-09,21,36446.0,8942.0,0.0
2021-01-09,22,35932.0,8802.0,0.0
2021-01-09,23,33854.0,8636.0,0.0
2021-01-09,24,30873.0,8446.0,0.0
2021-01-10,1,27436.0,9336.0,0.0
2021-01-10,2,24793.0,9509.0,0.0
2021-01-10,3,23202.0,9722.0,0.0
2021-01-10,4,22312.0,9985.0,0.0
2021-01-10,5,21951.0,10044.0,0.0
2021-01-10,6,21983.0,10009.0,0.0
2021-01-10,7,22439.0,9983.0,0.0
2021-01-10,8,23298.0,10040.0,0.0
2021-01-10,9,24395.0,10096.0,39.6
2021-01-10,10,27064.0,10148.0,690.1
2021-01-10,11,29989.0,10062.0,2144.7
2021-01-10,12,31407.0,10064.0,2655.2
2021-01-10,13,31714.0,10202.0,2396.8
2021-01-10,14,32639.0,10217.0,2669.8
2021-01-10,15,32926.0,10228.0,2501.7
2021-01-10,16,31385.0,10057.0,2407.7
2021-01-10,17,30393.0,10039.0,1729.3
2021-01-10,18,30396.0,10033.0,579.3
2021-01-10,19,32472.0,10186.0,8.7
2021-01-10,20,33809.0,10346.0,0.0
2021-01-10,21,34819.0,10501.0,0.0
2021-01-10,22,34755.0,10474.0,0.0
2021-01-10,23,33140.0,10408.0,0.0
2021-01-10,24,30168.0,10455.0,0.0
2021-01-11,1,27320.0,10683.0,0.0
2021-01-11,2,24965.0,10483.0,0.0
2021-01-11,3,23690.0,10268.0,0.0
2021-01-11,4,23133.0,10063.0,0.0
2021-01-11,5,23171.0,9920.0,0.0
2021-01-11,6,23985.0,9767.0,0.0
2021-01-11,7,26993.0,9614.0,0.0
2021-01-11,8,31624.0,9357.0,0.0
2021-01-11,9,35188.0,9098.0,54.7
2021-01-11,10,37465.0,8868.0,1160.8
2021-01-11,11,38754.0,8778.0,3053.8
2021-01-11,12,39277.0,8727.0,4634.3
2021-01-11,13,39200.0,8764.0,4704.5
2021-01-11,14,39408.0,8639.0,4862.8
2021-01-11,15,38898.0,8565.0,4779.9
2021-01-11,16,38084.0,8385.0,4506.7
2021-01-11,17,37506.0,8418.0,3039.3
2021-01-11,18,37620.0,8475.0,1031.1
2021-01-11,19,39075.0,8709.0,56.0
2021-01-11,20,39987.0,8733.0,0.0
2021-01-11,21,40307.0,8662.0,0.0
2021-01-11,22,39264.0,8524.0,0.0
2021-01-11,23,36188.0,8198.0,0.0
2021-01-11,24,32549.0,7807.0,0.0
2021-01-12,1,29964.0,6920.0,0.0
2021-01-12,2,27168.0,6561.0,0.0
2021-01-12,3,25906.0,6189.0,0.0
2021-01-12,4,25336.0,5934.0,0.0
2021-01-12,5,25217.0,5844.0,0.0
2021-01-12,6,25775.0,5812.0,0.0
2021-01-12,7,28387.0,5865.0,0.0
2021-01-12,8,32878.0,5946.0,0.0
2021-01-12,9,36158.0,5968.0,72.0
2021-01-12,10,38092.0,5862.0,1441.1
2021-01-12,11,39634.0,5523.0,3738.3
2021-01-12,12,39898.0,5131.0,4928.2
2021-01-12,13,39784.0,4865.0,5305.5
2021-01-12,14,40020.0,4816.0,5681.0
2021-01-12,15,39335.0,4894.0,5566.6
2021-01-12,16,38543.0,5007.0,5144.4
2021-01-12,17,37951.0,5243.0,3711.2
2021-01-12,18,38536.0,5703.0,1266.4
2021-01-12,19,39841.0,6279.0,80.6
2021-01-12,20,40987.0,6574.0,0.0
2021-01-12,21,41773.0,6638.0,0.0
2021-01-12,22,40459.0,6609.0,0.0
2021-01-12,23,37280.0,6532.0,0.0
2021-01-12,24,33372.0,6457.0,0.0
2021-01-13,1,30142.0,7007.0,0.0
2021-01-13,2,27686.0,6914.0,0.0
2021-01-13,3,26440.0,6832.0,0.0
2021-01-13,4,25914.0,6749.0,0.0
2021-01-13,5,25751.0,6706.0,0.0
2021-01-13,6,26318.0,6666.0,0.0
2021-01-13,7,28943.0,6634.0,0.0
2021-01-13,8,33430.0,6369.0,0.0
2021-01-13,9,36765.0,6036.0,95.0
2021-01-13,10,38678.0,5662.0,1530.1
2021-01-13,11,39881.0,5106.0,3744.9
2021-01-13,12,40061.0,4586.0,4800.6
2021-01-13,13,39560.0,4168.0,5418.4
2021-01-13,14,39488.0,4141.0,5841.2
2021-01-13,15,38617.0,4210.0,5662.1
2021-01-13,16,37765.0,4211.0,5096.9
2021-01-13,17,37294.0,4595.0,3688.4
2021-01-13,18,37434.0,5141.0,1317.7
2021-01-13,19,39182.0,5763.0,88.5
2021-01-13,20,40262.0,5976.0,0.0
2021-01-13,21,40514.0,6025.0,0.0
2021-01-13,22,39476.0,6108.0,0.0
2021-01-13,23,36666.0,6056.0,0.0
2021-01-13,24,32909.0,6022.0,0.0
2021-01-14,1,30211.0,6340.0,0.0
2021-01-14,2,27852.0,6440.0,0.0
2021-01-14,3,26512.0,6554.0,0.0
2021-01-14,4,25981.0,6704.0,0.0
2021-01-14,5,25805.0,6891.0,0.0
2021-01-14,6,26362.0,7079.0,0.0
2021-01-14,7,29004.0,7317.0,0.0
2021-01-14,8,33421.0,7377.0,0.0
2021-01-14,9,36593.0,7361.0,101.8
2021-01-14,10,38453.0,7316.0,1559.7
2021-01-14,11,39589.0,7020.0,3795.3
2021-01-14,12,39847.0,6756.0,4920.5
2021-01-14,13,39558.0,6579.0,5306.2
2021-01-14,14,39561.0,6733.0,5461.5
2021-01-14,15,38670.0,6973.0,5280.1
2021-01-14,16,37613.0,7172.0,4941.8
2021-01-14,17,37212.0,7531.0,3279.0
2021-01-14,18,37507.0,7987.0,1132.1
2021-01-14,19,39133.0,8458.0,77.4
2021-01-14,20,40168.0,8619.0,0.0
2021-01-14,21,40589.0,8720.0,0.0
2021-01-14,22,39616.0,8753.0,0.0
2021-01-14,23,36713.0,8762.0,0.0
2021-01-14,24,33081.0,8734.0,0.0
2021-01-15,1,30376.0,8885.0,0.0
2021-01-15,2,27726.0,8964.0,0.0
2021-01-15,3,26363.0,9070.0,0.0
2021-01-15,4,25735.0,9185.0,0.0
2021-01-15,5,25581.0,9215.0,0.0
2021-01-15,6,26191.0,9256.0,0.0
2021-01-15,7,28871.0,9286.0,0.0
2021-01-15,8,33198.0,9256.0,0.0
2021-01-15,9,36535.0,9190.0,90.7
2021-01-15,10,38374.0,9088.0,1491.5
2021-01-15,11,39444.0,8730.0,3731.8
2021-01-15,12,39694.0,8460.0,4869.6
2021-01-15,13,39183.0,8300.0,5175.4
2021-01-15,14,39037.0,8434.0,5346.3
2021-01-15,15,37925.0,8622.0,5320.1
2021-01-15,16,36719.0,8710.0,4914.4
2021-01-15,17,36149.0,8907.0,3636.2
2021-01-15,18,36263.0,9224.0,1444.7
2021-01-15,19,38006.0,9622.0,101.2
2021-01-15,20,39057.0,9714.0,0.0
2021-01-15,21,39140.0,9728.0,0.0
2021-01-15,22,38245.0,9697.0,0.0
2021-01-15,23,35557.0,9583.0,0.0
2021-01-15,24,32415.0,9446.0,0.0
2021-01-16,1,30149.0,9584.0,0.0
2021-01-16,2,27697.0,9506.0,0.0
2021-01-16,3,26150.0,9354.0,0.0
2021-01-16,4,25284.0,9263.0,0.0
2021-01-16,5,24852.0,9157.0,0.0
2021-01-16,6,24784.0,9040.0,0.0
2021-01-16,7,25513.0,8974.0,0.0
2021-01-16,8,27017.0,8460.0,0.0
2021-01-16,9,28730.0,7778.0,102.6
2021-01-16,10,31377.0,7088.0,1571.9
2021-01-16,11,33519.0,6097.0,3884.2
2021-01-16,12,33907.0,5211.0,5006.0
2021-01-16,13,33543.0,4441.0,5502.1
2021-01-16,14,33732.0,4266.0,5962.4
2021-01-16,15,33469.0,4271.0,5748.6
2021-01-16,16,32125.0,4393.0,5209.1
2021-01-16,17,31323.0,4710.0,3877.7
2021-01-16,18,31396.0,5124.0,1504.1
2021-01-16,19,33450.0,5783.0,118.0
2021-01-16,20,34754.0,6007.0,0.0
2021-01-16,21,35412.0,6115.0,0.0
2021-01-16,22,35261.0,6341.0,0.0
2021-01-16,23,33376.0,6295.0,0.0
2021-01-16,24,30693.0,6209.0,0.0
2021-01-17,1,28063.0,6511.0,0.0
2021-01-17,2,25568.0,6393.0,0.0
2021-01-17,3,23950.0,6237.0,0.0
2021-01-17,4,23100.0,6136.0,0.0
2021-01-17,5,22716.0,6216.0,0.0
2021-01-17,6,22755.0,6252.0,0.0
2021-01-17,7,23255.0,6401.0,0.0
2021-01-17,8,24085.0,6285.0,0.0
2021-01-17,9,24959.0,6138.0,125.8
2021-01-17,10,27115.0,5985.0,1642.2
2021-01-17,11,29435.0,5586.0,3969.0
2021-01-17,12,30372.0,5216.0,5025.2
2021-01-17,13,30353.0,4827.0,5532.3
2021-01-17,14,30859.0,4819.0,5944.6
2021-01-17,15,30835.0,4821.0,5725.2
2021-01-17,16,29313.0,4836.0,5374.4
2021-01-17,17,28449.0,5121.0,3923.9
2021-01-17,18,28536.0,5557.0,1534.3
2021-01-17,19,30998.0,6013.0,140.2
2021-01-17,20,33027.0,5683.0,0.0
2021-01-17,21,34402.0,5360.0,0.0
2021-01-17,22,34496.0,4999.0,0.0
2021-01-17,23,32838.0,4585.0,0.0
2021-01-17,24,30047.0,4216.0,0.0
2021-01-18,1,27453.0,4060.0,0.0
2021-01-18,2,25298.0,3758.0,0.0
2021-01-18,3,24038.0,3527.0,0.0
2021-01-18,4,23512.0,3327.0,0.0
2021-01-18,5,23536.0,3168.0,0.0
2021-01-18,6,24451.0,3020.0,0.0
2021-01-18,7,27639.0,2895.0,0.0
2021-01-18,8,32344.0,2628.0,0.0
2021-01-18,9,35816.0,2366.0,103.8
2021-01-18,10,37570.0,2143.0,1528.1
2021-01-18,11,38137.0,1962.0,3821.1
2021-01-18,12,38080.0,1827.0,4997.5
2021-01-18,13,37426.0,1724.0,5592.0
2021-01-18,14,37313.0,1593.0,6034.0
2021-01-18,15,36393.0,1418.0,5988.1
2021-01-18,16,35552.0,1247.0,5380.8
2021-01-18,17,35103.0,1093.0,3945.5
2021-01-18,18,35262.0,977.0,1607.1
2021-01-18,19,37228.0,966.0,138.7
2021-01-18,20,38830.0,1242.0,0.0
2021-01-18,21,39311.0,1619.0,0.0
2021-01-18,22,38602.0,2092.0,0.0
2021-01-18,23,35666.0,2636.0,0.0
2021-01-18,24,32074.0,3179.0,0.0
2021-01-19,1,29790.0,3550.0,0.0
2021-01-19,2,27352.0,4031.0,0.0
2021-01-19,3,26221.0,4420.0,0.0
2021-01-19,4,25693.0,4800.0,0.0
2021-01-19,5,25543.0,5075.0,0.0
2021-01-19,6,26285.0,5282.0,0.0
2021-01-19,7,29107.0,5481.0,0.0
2021-01-19,8,33762.0,5644.0,0.0
2021-01-19,9,37004.0,5766.0,108.6
2021-01-19,10,38379.0,5829.0,1502.6
2021-01-19,11,39150.0,5664.0,3640.8
2021-01-19,12,38885.0,5530.0,4798.0
2021-01-19,13,38323.0,5496.0,5101.8
2021-01-19,14,38218.0,5718.0,5063.0
2021-01-19,15,37288.0,5983.0,4379.0
2021-01-19,16,36527.0,6217.0,3864.1
2021-01-19,17,35959.0,6738.0,2882.3
2021-01-19,18,36162.0,7426.0,1044.0
2021-01-19,19,38299.0,8277.0,49.4
2021-01-19,20,40113.0,8939.0,0.0
2021-01-19,21,40599.0,9434.0,0.0
2021-01-19,22,39573.0,9844.0,0.0
2021-01-19,23,36456.0,10020.0,0.0
2021-01-19,24,32796.0,10145.0,0.0
2021-01-20,1,29362.0,10371.0,0.0
2021-01-20,2,27213.0,10743.0,0.0
2021-01-20,3,26065.0,11170.0,0.0
2021-01-20,4,25533.0,11625.0,0.0
2021-01-20,5,25498.0,12150.0,0.0
2021-01-20,6,26103.0,12647.0,0.0
2021-01-20,7,28910.0,13106.0,0.0
